date,ticker,priceShare,totalPrice,totalQuantity,account,fund,summary
5/1/2020,USD,1,2000.00 ,2000.0000 ,ETORO,Bitcoin,
5/9/2020,USO,21.2,5300.00 ,250.0000 ,IB,Energy,
5/11/2020,BTC-USD,8480.49,50.00 ,0.0059 ,ETORO,Bitcoin,
5/11/2020,USD,1,-50.00,-50.0000,ETORO,Bitcoin,
5/12/2020,BTC-USD,8937.2,50.00 ,0.0056 ,ETORO,Bitcoin,
5/12/2020,USD,1,-50.00,-50.0000,ETORO,Bitcoin,
5/13/2020,BTC-USD,9180.31,50.00 ,0.0054 ,ETORO,Bitcoin,
5/13/2020,USD,1,-50.00,-50.0000,ETORO,Bitcoin,
5/13/2020,BTC-USD,9273.39,-150.00,-0.0162,ETORO,Bitcoin,
5/13/2020,USD,1,150.00 ,150.0000 ,ETORO,Bitcoin,
5/14/2020,BTC-USD,9623.33,200.00 ,0.0208 ,ETORO,Bitcoin,
5/14/2020,USD,1,-200.00,-200.0000,ETORO,Bitcoin,
5/14/2020,GDX,35.27,5290.50 ,150.0000 ,IRA-Fidelity,Gold,
5/15/2020,BTC-USD,9546.38,50.00 ,0.0052 ,ETORO,Bitcoin,
5/15/2020,USD,1,-50.00,-50.0000,ETORO,Bitcoin,
5/16/2020,BTC-USD,9444.51,50.00 ,0.0053 ,ETORO,Bitcoin,
5/16/2020,USD,1,-50.00,-50.0000,ETORO,Bitcoin,
5/17/2020,BTC-USD,9797.1,50.00 ,0.0051 ,ETORO,Bitcoin,
5/17/2020,USD,1,-50.00,-50.0000,ETORO,Bitcoin,
5/18/2020,BTC-USD,9764.44,50.00 ,0.0051 ,ETORO,Bitcoin,
5/18/2020,USD,1,-50.00,-50.0000,ETORO,Bitcoin,
5/19/2020,CINF,51.995,519.95 ,10.0000 ,IRA-Fidelity,Finance,
5/19/2020,BRKB,174.11,696.44 ,4.0000 ,IRA-Fidelity,Finance,
5/21/2020,GDX,35.28,-2469.60,-70.0000,IRA-Fidelity,Gold,
5/21/2020,CINF,56.49,564.90 ,10.0000 ,IRA-Fidelity,Finance,
5/21/2020,USO,26.09,-3913.50,-150.0000,IB,Energy,
5/26/2020,BTC-USD,8791.31,50.00 ,0.0057 ,ETORO,Bitcoin,
5/26/2020,USD,1,-50.00,-50.0000,ETORO,Bitcoin,
5/27/2020,USO,25.035,-2503.50,-100.0000,IB,Energy,
5/27/2020,USD,1,2503.50 ,2503.5000 ,IB,Finance,
